"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ANKRD30B",2701.77502287717,-6.14052360545949,0.127323418938251,-48.2277624702923,0,0
"ANKRD50",3509.10321724862,1.57704151664899,0.0410451835169131,38.422084676492,0,0
"ANKS1B",1795.935301139,7.17358932027234,0.142693524261451,50.2727040866163,0,0
"ANKS6",2302.32176876229,2.28785517679236,0.0502652677922765,45.5156269384066,0,0
"ANO1",987.125028355413,6.2906012127423,0.145923140730598,43.109003693636,0,0
"ANXA5",1376.81079478253,-5.06160127442917,0.124874940164075,-40.5333629612048,0,0
"ANXA6",9228.65243192855,1.39783696131507,0.0342496935688113,40.8131231453697,0,0
"APLP2",5178.26918406239,1.71663620453872,0.0364246956244136,47.1283609955042,0,0
"APOBEC3C",5107.13601250346,-1.98527010231528,0.0413233027847407,-48.0423869470659,0,0
"ARAP2",14780.0584766836,3.86426882029782,0.0312110801815876,123.810800453407,0,0
